Mean,STD,Best,Worst
500.0,0.0,500.0,500.0
77.0,0.0,77.0,77.0
87.0,0.0,87.0,87.0
91.0,0.0,91.0,91.0
129.0,0.0,129.0,129.0
76.0,0.0,76.0,76.0
170.0,0.0,170.0,170.0
94.0,0.0,94.0,94.0
73.0,0.0,73.0,73.0
78.0,0.0,78.0,78.0
76.0,0.0,76.0,76.0
93.0,0.0,93.0,93.0
100.0,0.0,100.0,100.0
78.0,0.0,78.0,78.0
64.0,0.0,64.0,64.0
66.0,0.0,66.0,66.0
78.0,0.0,78.0,78.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
95.0,0.0,95.0,95.0
117.0,0.0,117.0,117.0
93.0,0.0,93.0,93.0
94.0,0.0,94.0,94.0
86.0,0.0,86.0,86.0
85.0,0.0,85.0,85.0
85.0,0.0,85.0,85.0
79.0,0.0,79.0,79.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
65.0,0.0,65.0,65.0
86.0,0.0,86.0,86.0
80.0,0.0,80.0,80.0
81.0,0.0,81.0,81.0
80.0,0.0,80.0,80.0
78.0,0.0,78.0,78.0
79.0,0.0,79.0,79.0
73.0,0.0,73.0,73.0
86.0,0.0,86.0,86.0
79.0,0.0,79.0,79.0
79.0,0.0,79.0,79.0
78.0,0.0,78.0,78.0
81.0,0.0,81.0,81.0
93.0,0.0,93.0,93.0
66.0,0.0,66.0,66.0
90.0,0.0,90.0,90.0
97.0,0.0,97.0,97.0
81.0,0.0,81.0,81.0
79.0,0.0,79.0,79.0
101.0,0.0,101.0,101.0
153.0,0.0,153.0,153.0
65.0,0.0,65.0,65.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
72.0,0.0,72.0,72.0
66.0,0.0,66.0,66.0
73.0,0.0,73.0,73.0
75.0,0.0,75.0,75.0
71.0,0.0,71.0,71.0
100.0,0.0,100.0,100.0
66.0,0.0,66.0,66.0
82.0,0.0,82.0,82.0
65.0,0.0,65.0,65.0
65.0,0.0,65.0,65.0
89.0,0.0,89.0,89.0
90.0,0.0,90.0,90.0
94.0,0.0,94.0,94.0
71.0,0.0,71.0,71.0
74.0,0.0,74.0,74.0
73.0,0.0,73.0,73.0
100.0,0.0,100.0,100.0
146.0,0.0,146.0,146.0
87.0,0.0,87.0,87.0
146.0,0.0,146.0,146.0
211.0,0.0,211.0,211.0
82.0,0.0,82.0,82.0
97.0,0.0,97.0,97.0
81.0,0.0,81.0,81.0
78.0,0.0,78.0,78.0
89.0,0.0,89.0,89.0
105.0,0.0,105.0,105.0
90.0,0.0,90.0,90.0
65.0,0.0,65.0,65.0
115.0,0.0,115.0,115.0
73.0,0.0,73.0,73.0
97.0,0.0,97.0,97.0
72.0,0.0,72.0,72.0
73.0,0.0,73.0,73.0
73.0,0.0,73.0,73.0
74.0,0.0,74.0,74.0
72.0,0.0,72.0,72.0
